feature,coefficient
refi_lin,0.004320370927372064
refi_k-150,0.0022721146269841057
refi_k-50,0.0017670998050352091
refi_k0,0.0009122345816079771
refi_k50,-0.0015626207332975254
refi_k100,-0.003416429463723169
refi_k150,-0.002353875356415519
refi_k250,-0.0009769816688914486
age_lin,0.005901086912838121
age_k12,0.005360449011378241
age_k36,0.0005680631854614239
age_k60,-0.0029967448368979238
age_k84,-0.004913545211577267
age_k120,-0.019499419360819406
age_k180,0.020552257018307516
pen_lin,0.021886001802287912
pen_k0,0.021886001802287912
pen_k2,-0.05274718520173867
pen_k5,-0.006766610323734303
pen_k8,0.041518139355375884
sato_lin,-0.001208185407544296
sato_k-100,0.0016515061578033386
sato_k-25,-0.0006815554563151082
sato_k25,-0.0015030342534118081
sato_k100,-0.004834832950120234
size_lin,0.053150615607756746
size_k2,0.03899264425836804
size_k10,-0.059651252351915304
size_k25,-0.030854713948761308
m2m_lin,-0.0004235851639883138
m2m_k12,-0.00019614578625166002
m2m_k24,9.162519761975138e-05
m2m_k60,0.0009516060403751056
mpl_lin,-0.0062609994128686635
mpl_k6,-0.003525250754733144
mpl_k12,0.00017950122251224757
mpl_k24,0.012105579645689864
refi_x_pen,0.08342884429958068
in_penalty,-0.4255794748139353
fha_221d4,0.06566998592540436
fha_223a7,-0.053092186416026865
fha_232,-0.19643132735555582
fha_538,-0.7103382360670417
fha_241,0.18759579227502057
fha_220,-0.5003933159449199
fha_other,-0.0264073808695201
is_nc,-0.16441004483915383
aff_aff,0.23046901208745163
aff_baf,-0.08762531422874402
aff_mkt,0.6817414554613862
is_lm_pool,-0.09149513404324744
is_pn_pool,0.12849828908124405
is_ls_pool,-0.0025069756911412265
is_rx_pool,-0.4785349424700878
__intercept__,-6.583065278239806
