period,plc_rate_bps
201812,354.0
201901,352.0
201902,355.0
201903,328.0
201904,319.0
201905,279.0
201906,276.0
201907,264.0
201908,228.0
201909,245.0
201910,242.0
201911,262.0
201912,277.0
202001,232.0
202002,209.0
202003,207.0
202004,188.5
202005,182.0
202006,177.0
202007,155.0
202008,149.0
202009,148.0
202010,173.0
202011,166.0
202012,160.0
202101,165.0
202102,185.0
202103,207.0
202104,196.0
202105,180.0
202106,168.0
202107,154.0
202108,164.0
202109,171.0
202110,174.0
202111,176.0
202112,185.0
202201,207.0
202202,231.0
202203,279.0
202204,342.0
202205,341.0
202206,370.0
202207,342.0
202208,393.0
202209,462.0
202210,504.0
202211,452.0
202212,465.0
202301,428.0
202302,453.0
202303,451.0
202304,460.0
202305,487.0
202306,494.0
202307,507.0
202308,524.0
202309,572.0
202310,616.0
202311,547.0
202312,488.0
202401,489.0
202402,510.0
202403,505.0
202404,553.0
202405,531.5
202406,520.0
202407,489.0
202408,478.0
202409,458.0
202410,505.5
202411,489.0
202412,523.0
202501,523.0
202502,498.0
202503,503.0
202504,515.0
202505,537.0
202506,517.0
202507,528.0
202508,509.0
202509,495.0
202510,487.8
202511,477.5
202512,481.0
202601,465.0
202602,447.0
202603,490.5
